"","rescue","defeat","solve","destroy_devastate_wreck","fast","shoot","compete","battle","defend","attack","race","move_special_move","collect_gather","explore","discover_reveal","adventure","strategy_tactics"
"937398",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"941974",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943707",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"944900",0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
"945458",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945858",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"946021",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"946119",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"946375",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"946762",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"952625",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"954304",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"954724",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
