"","comedy_humor_funny","emotion","fantasy","happy_upbeat_cheerful","book","life","all_ages","licensed_content_cultural_products","lively_vibrant_colorful","level_stage","social","puzzle","monster","dream","witness","city","suspect","criminal","mystery","trade","united_states","history","hollywood","clue","detective_sleuth","truth","conspiracy","drugs_contraband","action","corrupt","burn_ignite","brutal_violent_cruel","kill"
"622897",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"988983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
