"","mission","battle","fight","destroy_devastate_wreck","attack","strategy_tactics","rescue","combat","shoot","discover_reveal","defend","explore","move_special_move","solve","collect_gather"
"928377",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"932146",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"939187",0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
"939613",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"942810",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944785",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"951943",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"952482",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"954261",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954810",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"955867",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"957941",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"958780",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"959884",0,0,0,1,0,1,1,0,0,0,0,1,1,1,0
"960486",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960508",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"960511",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"961767",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
