"","match_link_couple","treasure","human_race_mankind","magic","classic","jungle","gem_diamond","solve","object","puzzle","destroy_devastate_wreck","ancient","online","multiplayer","frantic","light_illuminate"
"931422",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"933064",0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
