"","police","stealth","licensed_content_cultural_products","city","steal_theft","famous","kill","history","evil","machine","friend","destroy_devastate_wreck","change_transform_evolve","monster","boy_man","food","car","challenge","time","wild_land_animal","europe","team_group_crew_squad","home","all_ages","united_states","classic","myth_legend","action","arsenal","ghost"
"622370",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"632677",0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"652585",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"659951",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
"659955",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
