"","battle","move_special_move","explore","discover_reveal","defeat","combat","attack","defend","adventure","fight","shoot","destroy_devastate_wreck","race","rescue","compete","strategy_tactics","fast","mission","collect_gather"
"933029",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933095",1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"936559",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"936562",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"936566",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"938534",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939318",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"939319",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"939448",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"941631",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"943724",0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"943992",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944054",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"944984",1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"945135",0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
"945596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"945885",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"946166",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"946415",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"946847",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"950572",0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"950574",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"952156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"952259",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"954090",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"954406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"954469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"954979",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
