"","battle","defeat","move_special_move","discover_reveal","fight","rescue","mission","explore","collect_gather","attack","solve","defend","fast","adventure","strategy_tactics","combat","shoot","race"
"936120",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944938",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"951327",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"954341",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"954379",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"954758",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"955430",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"955675",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"956905",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"958997",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"959038",0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"959191",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"959224",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
"959285",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"959814",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"960081",1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
"960137",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"960162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"960687",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"960797",0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"960798",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
"961302",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"971809",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"971949",0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"973001",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
