"","story","unpreditable_uncertainty","village","factory","lawyer","mountain","time","mystery","destiny","new_york","company_business_corporation","magic","puzzle","france","morality","trade","robot"
"760213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"895981",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
