"","story","solve","unpreditable_uncertainty","village","factory","journey","mountain","time","mystery","destiny","company_business_corporation","magic","puzzle","morality","trade","robot"
"760213",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"895981",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
