"","explore","strategy_tactics","the_earth","defeat","enemy","fight","team_group_crew_squad","destroy_devastate_wreck","rescue","battle","mystery"
"714467",1,0,0,0,0,0,0,0,0,0,0
"785539",0,1,1,1,1,1,1,1,1,1,1
