"","enemy","collect_gather","magic","army","weapon","rescue","hero","defeat","adventure","battle","the_earth","story","team_group_crew_squad","epic","explore","city","mystery"
"932329",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"932621",0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1
