"","fight","rescue","defeat","shoot","attack","battle","combat","destroy_devastate_wreck","solve","mission","explore","defend","strategy_tactics","fast","discover_reveal"
"926632",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"927013",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928517",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"928851",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"929196",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"929255",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"929531",0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"931482",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"933020",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"933065",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"933066",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"935058",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"935378",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"935656",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"936564",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"936565",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"937003",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"937395",1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
"938000",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"938445",1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"938524",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"938546",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"938955",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"939212",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"939277",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"939450",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"939646",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"939731",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"939986",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"940050",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"941655",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"941969",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"941993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"942015",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"942745",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"942853",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"943270",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
