"","realistic_accurate","career","athlete","athlete_name","school","team_group_crew_squad","crowd_audience_spectators","tournament_competition","build_construct","drama","contest_match","arena_stadium","famous","quickplay","online","challenge","multiplayer","licensed_tournament","win","sports","country_nation","licensed_content_video_games"
"726154",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"737969",1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"761141",1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1
