"","prehistoric","archaeology","discover_reveal","dangerous","animal","mystery","predator","dinosaur","adventure","dig_excavate","human_race_mankind","travel","journey","trait_characteristics","explore","planet","meteor_asteroid","place_position","weather","ball","wind_breeze_storm","physics","level_stage","puzzle","lightning_thunder","fall","navigate","power_control_rule","manipulate","elemental","environment","magic","collect_gather","terrain"
"682786",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"718933",0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"975243",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
