"","archaeology","treasure","human_race_mankind","statue","magic","artifact_relic","classic","sand","gold","jungle","gem_diamond","aztec_mayan","surprise","object","puzzle","destroy_devastate_wreck","ancient","frantic","light_illuminate"
"931422",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"933064",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
