"","destroy_devastate_wreck","rescue","discover_reveal","collect_gather","fight","solve","shoot","adventure","battle","fast","mission","defeat","explore","attack","defend","combat","compete","strategy_tactics","move_special_move"
"531290",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609595",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"611664",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"611671",0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"614909",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"615288",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"618245",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"625933",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"626268",0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"631685",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"631936",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"632145",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"632874",0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"632899",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944089",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"955480",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"988768",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
"991428",0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"996489",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"996557",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"997308",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
