"","hero","army","enemy","city","evil","mystery","attack","dangerous","magic","war"
"696378",1,1,1,1,0,0,0,0,0,0
"730638",0,0,0,0,1,1,1,0,0,0
"784567",0,0,0,0,0,0,0,1,0,0
"814418",0,0,0,0,0,0,0,0,1,1
