"","hero","tournament_competition","the_earth","level_stage","multiplayer","puzzle","online","magic","adventure","licensed_content_video_games","epic","licensed_content_cultural_products"
"690817",1,1,1,0,0,0,0,0,0,0,0,0
"708705",0,0,0,1,1,1,1,0,0,0,0,0
"716879",0,0,0,0,0,1,0,1,1,0,0,0
"723514",0,0,0,0,0,0,0,0,1,1,1,1
