"","combat","destroy_devastate_wreck","defeat","compete","battle","strategy_tactics","defend","attack","mission","shoot","fight","solve","adventure","collect_gather","rescue","discover_reveal","explore","move_special_move"
"604137",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605192",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"605506",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"605821",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"606327",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"611666",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"612230",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"614177",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"618775",1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
"619503",0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"619946",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"620242",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"621185",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"621206",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"621801",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"623315",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"624548",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"625894",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"627150",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"628015",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"631928",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"632676",0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"632713",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
"636542",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"637289",0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"638431",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
"640103",0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"640651",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"642666",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"643664",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"648815",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"942657",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944794",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"952598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"954959",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"960373",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"960408",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"960491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"975303",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
"988573",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"988785",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991064",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"991141",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"991468",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"991521",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991817",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"995751",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"996823",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"996959",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"997291",0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"997619",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"998016",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
