"","pirate","level_stage","myth_legend","mystery","treasure","boat","trap","x3d","princess","classic","enemy","puzzle","dangerous","threat","travel","the_earth","predator","wild_land_animal","underwater_animal","wilderness_nature","animal","arctic_frozen_icy"
"938681",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939484",0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"941832",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
