"","enemy","battle","war","weapon","army","team_group_crew_squad","attack","defeat","race","tournament_competition","destroy_devastate_wreck","online","action","combat","strategy_tactics","fight","evil"
"606289",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"624142",1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
"660035",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"984946",0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"997850",1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,1
