"","mission","battle","fight","defeat","combat","discover_reveal","rescue","destroy_devastate_wreck","attack","strategy_tactics","adventure","shoot","defend","fast","explore","team_group_crew_squad","compete","move_special_move","solve","collect_gather"
"928377",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930281",1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"932146",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"935990",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"939187",0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"939613",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942810",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"942901",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"944785",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"945214",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945933",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"948811",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"951188",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"951328",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"951943",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952482",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"954118",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954261",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954400",0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"954810",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"955032",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955497",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"955525",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"955867",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"957941",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"957943",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"958780",0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"958971",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"959302",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959342",0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0
"959884",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0
"960483",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960486",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960508",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"960511",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960627",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960787",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"961246",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"961270",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"961398",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"961767",1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"974847",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"980239",0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
