"","perform_entertain","collect_gather","manage","create_design","compete","party_celebrate","move_special_move","dance","customize","manipulate","change_transform_evolve","place_position","mini_game","match_link_couple","survive","attack"
"944719",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"954828",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"955507",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"957987",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"959646",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"959650",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"959887",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"960087",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960094",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960095",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960626",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"971367",0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0
"971423",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"972004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"978836",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
