"","ghost","hero","domesticated_land_animal","tournament_competition","survive","robot","kill","the_earth","technology","contest_match","dark_black_grim","level_stage","physics","gravity","puzzle","jump","cooperate","light_illuminate","wall","family","magic","history","dream","girl_woman","adventure","friend","outer_space","restore","journey","epic","explode_blast","sword"
"690817",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"708705",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"716879",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"723514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
