"","shot_sports","battle","golf","customize","stunt","clear_away","challenge"
"928262",1,1,1,0,0,0,0
"928296",0,0,0,1,1,0,0
"928316",0,0,0,0,1,1,0
"930852",1,0,1,0,0,0,1
