"","stop","brutal_violent_cruel","movie_film","discover_reveal","police","explore","outer_space","relax_chill_mellow","story","truth","human_race_mankind","remote_isolated_undiscovered","leader","rescue","objective_target","open_world_sandbox","demon_devil","the_earth","quest","pillage_raid_plunder","restore","eliminate","class_breed_race","kingdom","destroy_devastate_wreck"
"930279",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"934605",0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
