"","realistic_accurate","race","mystery","fast","compete","multiplayer","defeat","enemy","tournament_competition","licensed_content_video_games","evil","dangerous","online","battle","destroy_devastate_wreck","city","singleplayer","action"
"604291",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605586",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"605593",0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"605961",1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"614995",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"620598",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"621031",0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"628160",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
"630985",0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"638789",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"646484",0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
"971360",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"998009",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
