"","avoid","move_special_move","find","collect_gather","ride","create_design","solve","perform_entertain","explore","customize","party_celebrate","romance_love","adventure"
"610892",1,1,1,1,1,1,0,0,0,0,0,0,0
"632708",0,1,0,0,0,1,1,1,1,1,1,1,0
"639173",0,0,0,0,0,0,1,0,0,0,0,0,1
