"","junk","romance_love","return","confront","robot","city","rescue","clan","survive","scary_terrifying_horror","police","hunger","decide_choose","story","apocalypse","sad_somber_grief","emotion","betray","zombie"
"640836",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"691380",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
