"","multiplayer","enemy","collect_gather","magic","army","weapon","rescue","hero","defeat","adventure","battle","action","the_earth","story","team_group_crew_squad","licensed_content_cultural_products","epic","explore","online","city","mystery","singleplayer","licensed_content_video_games"
"932329",1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"932589",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"932621",1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1
