"","comedy_humor_funny","explore","lively_vibrant_colorful","create_design","dream","strategy_tactics","climb","the_earth","floor","defeat","chaos","enemy","fight","cooperate","soldier","stop","judge_assess","command_lead","kill","team_group_crew_squad","altitude_height","find","threat","destroy_devastate_wreck","rescue","destination_finish_line","tower","battle","alliance","conspiracy","mystery"
"714467",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"785539",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
