"","hero","battle","quest","girl_woman","army","power_control_rule","strategy_tactics","enemy","history","fight","japan","conquer","turn_alternate","famous","myth_legend","city","command_lead","evil","dark_black_grim","death","school","mystery","attack","company_business_corporation","ghost","defeat","wild_land_animal","worlds_realm_land_world","playing_cards","online","hunt","licensed_content_video_games","dangerous","collect_gather","multiplayer","build_construct","demon_devil","magic","rebel","war","empire","monster"
"696378",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"730638",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"784567",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"814418",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
