"","treasure","human_race_mankind","magic","classic","jungle","gem_diamond","object","puzzle","destroy_devastate_wreck","ancient","frantic","light_illuminate"
"931422",1,1,1,1,1,1,1,1,1,1,0,0
"933064",0,0,0,0,0,0,0,1,0,0,1,1
