"","adventure","evil","enemy","puzzle","dangerous","licensed_content_video_games","epic","story","city","destroy_devastate_wreck","mystery","level_stage","licensed_content_cultural_products"
"611875",1,1,1,1,0,0,0,0,0,0,0,0,0
"954432",0,0,0,0,1,0,0,0,0,0,0,0,0
"960551",0,0,0,0,0,1,0,0,0,0,0,0,0
"960584",0,0,0,1,1,0,0,0,0,0,0,0,0
"972792",0,1,0,0,0,1,1,1,0,0,0,0,0
"982129",0,1,0,1,0,1,0,0,1,1,0,0,0
"990836",0,1,0,0,0,0,0,0,0,1,0,0,0
"991005",0,0,0,0,1,0,0,0,0,0,0,0,0
"997173",0,1,0,0,0,1,0,0,0,0,1,0,0
"997761",0,0,0,0,0,1,0,0,0,0,0,0,0
"997764",0,1,0,0,0,0,0,0,0,0,0,1,1
