"","fly","explore","crazy_wacky","the_earth","dream","mystery","outer_space","level_stage","planet","object","explode_blast","enemy","action","missile","defeat","team_group_crew_squad","invasion","creature","battle","magic","disease_pandemic_virus","hunt","rescue","ghost","capture","fight","equipment","food","horde_wave_mass","throw","castle","strength_physical","cooperate","strategy_tactics","army","frantic","fast","wall","comedy_humor_funny","classic","physics","attack","power_control_rule","modern_contemporary_present"
"942166",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"943783",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"944011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"950928",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"960205",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
