"","online","fight","multiplayer","action","compete","battle","licensed_content_video_games","singleplayer","strategy_tactics","fast","level_stage","enemy","mission","puzzle","destroy_devastate_wreck","adventure","collect_gather","solve","move_special_move","rescue","race","realistic_accurate"
"930069",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"952299",0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"954473",1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"954862",0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"955441",0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"955479",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"957669",0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0
"958943",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"959413",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"960170",1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"960354",1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"971686",0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
"973240",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"978341",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
