"","compete","combat","discover_reveal","fight","move_special_move","explore","rescue","race","shoot","mission","collect_gather","fast","battle","adventure"
"958777",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"960521",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"973379",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"981301",1,1,0,1,1,0,0,0,0,0,0,0,0,0
"986202",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"986258",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"987007",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"988394",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"988758",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"990635",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"990875",0,0,0,0,0,0,0,0,1,1,0,0,0,0
"991352",0,0,0,0,1,0,0,0,0,0,1,0,0,0
"995478",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"997427",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"997571",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"997752",1,0,0,0,0,0,0,1,0,0,1,0,1,0
"998050",0,0,0,0,0,0,0,0,0,0,0,0,1,1
