"","fast","collect_gather","win","tournament_competition","exotic","race","clothes","home","mission","drive","trade","road","customize","earn","challenge","car","part_piece","bike_motorbike","points","vehicle","garage","conquer","neighborhood_district","battle","canyon","famous","police","team_group_crew_squad","city","enemy","territory","dangerous","thrill_excitement_rush","mini_game","egypt","racetrack","spin_rotate","tree","global_international_around_the_world","desert","destroy_devastate_wreck","stunt","contest_match","smash","compete","jump","mountain","truck","machine","off_road","crash","snow"
"928101",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928379",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"930270",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"933691",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"934753",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
