"","destroy_devastate_wreck","action","fast","team_group_crew_squad","enemy","tournament_competition","realistic_accurate","licensed_content_video_games","city","magic","race","licensed_content_cultural_products","hero"
"933706",1,0,0,0,0,0,0,0,0,0,0,0,0
"938148",0,1,0,0,0,0,0,0,0,0,0,0,0
"939509",0,0,1,0,0,0,0,0,0,0,0,0,0
"942063",0,0,0,1,1,1,0,0,0,0,0,0,0
"942072",0,0,0,0,1,0,0,0,0,0,0,0,0
"942716",0,1,1,0,0,0,1,0,0,0,0,0,0
"942736",0,0,0,0,0,0,0,1,1,0,0,0,0
"944359",0,0,0,0,1,0,1,0,1,0,0,0,0
"944937",0,0,0,0,0,0,1,0,0,0,0,0,0
"945297",0,1,0,0,0,0,0,0,0,0,0,0,0
"945385",0,0,0,1,1,0,0,0,0,1,1,1,0
"945662",0,1,1,0,0,0,0,0,0,0,0,0,1
"945865",0,0,0,0,0,0,0,0,0,0,1,0,0
"955192",0,0,1,0,0,0,0,0,1,0,0,0,0
